"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2020","3,054.00","3,029.75","3,059.00","3,008.00","1.28M","0.39%"
"05/29/2020","3,042.00","3,036.00","3,058.25","2,992.00","2.26M","0.13%"
"05/28/2020","3,038.00","3,035.00","3,065.50","3,019.50","1.88M","0.08%"
"05/27/2020","3,035.50","2,994.00","3,039.50","2,965.50","2.11M","1.37%"
"05/26/2020","2,994.50","2,948.50","3,019.75","2,947.50","1.80M","0.42%"
"05/25/2020","2,982.12","2,967.38","2,989.88","2,954.38","","0.51%"
"05/24/2020","2,967.12","2,947.88","2,968.62","2,947.88","","0.48%"
"05/22/2020","2,953.00","2,936.75","2,957.50","2,903.75","1.38M","0.54%"
"05/21/2020","2,937.00","2,972.25","2,973.50","2,933.00","1.61M","-1.06%"
"05/20/2020","2,968.50","2,913.50","2,975.75","2,908.50","1.53M","1.70%"
"05/19/2020","2,918.75","2,945.00","2,976.25","2,914.25","1.57M","-0.99%"
"05/18/2020","2,948.00","2,859.75","2,964.75","2,850.00","1.78M","3.57%"
"05/15/2020","2,846.50","2,846.25","2,863.50","2,809.50","1.90M","-0.02%"
"05/14/2020","2,847.00","2,820.25","2,853.75","2,760.25","2.50M","1.21%"
"05/13/2020","2,813.00","2,839.75","2,876.75","2,786.00","2.59M","-1.38%"
"05/12/2020","2,852.50","2,919.25","2,939.25","2,838.00","1.82M","-2.40%"
"05/11/2020","2,922.75","2,920.75","2,947.00","2,889.75","1.53M","-0.20%"
"05/08/2020","2,928.50","2,882.00","2,933.00","2,879.75","1.33M","1.68%"
"05/07/2020","2,880.00","2,832.00","2,895.00","2,823.00","1.49M","1.64%"
"05/06/2020","2,833.50","2,857.75","2,886.25","2,832.00","1.47M","-0.87%"
"05/05/2020","2,858.25","2,827.00","2,889.75","2,824.50","1.47M","1.17%"
"05/04/2020","2,825.25","2,789.00","2,835.75","2,771.00","1.51M","0.12%"
"05/01/2020","2,821.75","2,871.50","2,879.75","2,811.75","1.65M","-2.78%"
"04/30/2020","2,902.50","2,956.50","2,965.00","2,878.00","2.03M","-1.31%"
